"","state","hesitant","strongly_hesitant","pupil_spending","grad_rate"
"1","alabama",22.5671641791045,10.9402985074627,9696,86
"2","alaska",23.9310344827586,10.8275862068966,17726,93
"3","arizona",19.4,11.8,8239,87
"4","arkansas",21.8133333333333,13.1866666666667,10139,87
"5","california",12.1206896551724,4.79310344827586,12498,83
"6","colorado",16.453125,6.40625,10202,92
"7","connecticut",10.375,4.125,20635,91
"8","delaware",13.6666666666667,4.33333333333333,15639,90
"9","florida",21.9701492537313,10,9346,88
"10","georgia",24.6415094339623,10.937106918239,10810,87
"11","hawaii",11,4.8,15242,92
"12","idaho",25.6136363636364,12.0909090909091,7771,91
"13","illinois",17.1372549019608,7.67647058823529,15741,89
"14","indiana",19.1630434782609,8.14130434782609,10262,89
"15","iowa",19.9191919191919,10.4848484848485,11732,92
"16","kansas",19.6190476190476,8.18095238095238,11653,91
"17","kentucky",20.5333333333333,9.425,11110,86
"18","louisiana",24.5,11.171875,11452,85
"19","maine",13,8.1875,14145,93
"20","maryland",13.125,3.75,14762,90
"21","massachusetts",7,3.14285714285714,17058,91
"22","michigan",19.8433734939759,7.49397590361446,12345,91
"23","minnesota",11.9195402298851,5.74712643678161,12975,93
"24","mississippi",27.9268292682927,12.2560975609756,8935,85
"25","missouri",16.4260869565217,6.96521739130435,10810,90
"26","montana",24.9285714285714,11.2678571428571,11680,94
"27","nebraska",17.7956989247312,9.11827956989247,12491,91
"28","nevada",20.1764705882353,9.58823529411765,9417,87
"29","new hampshire",14.4,6.9,16893,93
"30","new jersey",12,5.04761904761905,20021,90
"31","new mexico",15.2727272727273,8.63636363636364,9582,86
"32","new york",14.6129032258065,6.06451612903226,24040,87
"33","north carolina",18.61,7.37,9377,88
"34","north dakota",29.2452830188679,19.1698113207547,13758,93
"35","ohio",22.3636363636364,12.1477272727273,13027,90
"36","oklahoma",22,11.1818181818182,8239,88
"37","oregon",16.6111111111111,7.11111111111111,11920,91
"38","pennsylvania",16.6119402985075,8.38805970149254,16395,91
"39","rhode island",12,3.2,16121,89
"40","south carolina",18.9565217391304,9.28260869565217,10856,88
"41","south dakota",23.1515151515152,9.1969696969697,10073,92
"42","tennessee",25.3894736842105,14.9473684210526,9544,88
"43","texas",18.003937007874,8.3503937007874,9606,84
"44","utah",15.6206896551724,6.20689655172414,7628,92
"45","vermont",7.35714285714286,3.35714285714286,9340,93
"46","virginia",15.9248120300752,6.6015037593985,12216,90
"47","washington",12.8717948717949,6.30769230769231,12995,91
"48","west virginia",20.5090909090909,10.4909090909091,11334,87
"49","wisconsin",16.9444444444444,9.93055555555556,12285,92
"50","wyoming",30.9565217391304,16.6086956521739,16224,93
